city_id,city,state_id
1205,Wytheville,9
1206,Yardley borough,11
1207,Penn Yan,19
1208,Hollywood,7
1209,Yorktown,17
1210,Cypress,14
1211,Ypsilanti,6
1212,Yreka,3
1213,Yucaipa,3
1214,Zebulon,43
1215,Zelienople,11
